stfips,stabbr,stname,total_2018,hispanic_2018,nhwhite_2018,nhblack_2018,nhasian_2018,totalDeathBy_20200609,totalDeathBy_20200623,totalDeathBy_20200707,totalDeathBy_20200721,totalDeathBy_20200804,totalDeathBy_20200818,totalDeathBy_20200901,totalDeathBy_20200915,totalDeathBy_20200929,totalDeathBy_20201013,totalDeathBy_20201027,totalDeathBy_20201110,totalDeathBy_20201124,totalDeathBy_20201208,totalDeathBy_20201222,totalDeathBy_20210105,totalDeathBy_20210119,totalDeathBy_20210202,totalDeathBy_20210216,totalDeathBy_20210302,White_20200609,White_20200623,White_20200707,White_20200721,White_20200804,White_20200818,White_20200901,White_20200915,White_20200929,White_20201013,White_20201027,White_20201110,White_20201124,White_20201208,White_20201222,White_20210105,White_20210119,White_20210202,White_20210216,White_20210302,Black_20200609,Black_20200623,Black_20200707,Black_20200721,Black_20200804,Black_20200818,Black_20200901,Black_20200915,Black_20200929,Black_20201013,Black_20201027,Black_20201110,Black_20201124,Black_20201208,Black_20201222,Black_20210105,Black_20210119,Black_20210202,Black_20210216,Black_20210302,Latino_20200609,Latino_20200623,Latino_20200707,Latino_20200721,Latino_20200804,Latino_20200818,Latino_20200901,Latino_20200915,Latino_20200929,Latino_20201013,Latino_20201027,Latino_20201110,Latino_20201124,Latino_20201208,Latino_20201222,Latino_20210105,Latino_20210119,Latino_20210202,Latino_20210216,Latino_20210302,Asian_20200609,Asian_20200623,Asian_20200707,Asian_20200721,Asian_20200804,Asian_20200818,Asian_20200901,Asian_20200915,Asian_20200929,Asian_20201013,Asian_20201027,Asian_20201110,Asian_20201124,Asian_20201208,Asian_20201222,Asian_20210105,Asian_20210119,Asian_20210202,Asian_20210216,Asian_20210302
45.0,SC,South Carolina,5084127.0,296046.0,3238535.0,1353188.0,87197.0,545,646,811,1145,1675,2106,2436,2764,2980,3194,3392,3624,3915,4204,4408,4609,4955,5298,6067,6832,250,303,385,567,846,1113,1296,1478,1605,1732,1890,2048,2255,2462,2611,2759,3012,3265,3808,4350,273,303,360,486,693,835,961,1086,1162,1238,1334,1429,1507,1584,1631,1677,1758,1838,2045,2251,11,20,33,46,68,94,96,98,105,111,111,111,115,119,124,128,134,139,152,164,0,0,0,0,0,0,0,0,0,0,0,25,26,27,30,33,38,42,47,52
46.0,SD,South Dakota,882235.0,36402.0,718383.0,20162.0,14776.0,21,24,41,55,136,153,170,184,237,288,401,511,775,1035,1221,1406,1556,1703,1759,1813,21,24,41,55,81,90,102,114,156,198,300,402,628,853,1008,1162,1282,1402,1446,1489,0,0,0,0,2,2,2,2,2,2,4,5,5,5,6,7,7,7,7,7,0,0,0,0,5,5,6,6,6,6,7,7,9,11,14,17,20,22,23,23,0,0,0,0,4,5,5,5,6,6,7,8,10,11,13,15,16,16,16,16
47.0,TN,Tennessee,6770010.0,380772.0,4989758.0,1133558.0,124526.0,452,574,716,949,1200,1515,1882,2246,2590,2932,3352,3768,4445,5119,6190,7256,8495,9730,10546,11359,241,308,372,481,638,853,1122,1391,1642,1893,2238,2583,3132,3680,4519,5358,6360,7361,7995,8628,148,180,234,315,372,445,521,596,670,744,792,840,941,1042,1177,1311,1507,1703,1837,1970,32,45,58,82,103,114,125,136,145,153,162,170,177,184,236,288,281,274,288,302,9,11,12,15,15,15,18,20,22,24,26,27,31,34,36,37,44,50,56,62
48.0,TX,Texas,28701845.0,11368849.0,11912849.0,3441644.0,1433736.0,1372,1780,2182,2655,7257,10250,12295,14336,15433,16560,17441,18327,20108,21895,24168,26438,28264,30086,36567,43047,610,759,882,1033,2392,3191,3757,4322,4741,5159,5509,5860,6649,7437,8562,9687,10622,11557,14818,18079,299,373,436,504,949,1261,1446,1630,1756,1881,1954,2028,2197,2366,2535,2704,2845,2986,3602,4218,449,621,800,1038,3689,5504,6766,8027,8581,9134,9578,10022,10809,11595,12523,13451,14153,14854,17283,19712,14,27,64,80,174,228,253,277,299,321,333,346,381,415,455,494,536,577,721,864
49.0,UT,Utah,3161105.0,450218.0,2466025.0,36307.0,81356.0,46,170,202,257,329,369,409,446,489,530,604,681,832,979,1151,1318,1500,1680,1806,1929,46,90,105,124,165,187,207,226,255,284,338,392,500,608,732,855,989,1123,1224,1325,0,4,5,4,6,7,7,7,8,8,8,9,11,12,13,14,16,17,18,18,0,38,46,61,72,84,91,97,104,111,120,130,153,175,198,220,239,258,269,280,0,8,10,13,17,20,22,23,24,25,27,29,31,32,37,41,47,52,55,58
50.0,VT,Vermont,626299.0,12534.0,579588.0,8155.0,12423.0,55,56,56,56,57,57,58,58,58,58,58,59,70,81,109,137,151,164,180,193,52,53,53,53,54,54,55,55,55,55,55,56,66,76,104,131,144,156,170,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,5,5
51.0,VA,Virginia,8517685.0,820874.0,5234514.0,1627434.0,578201.0,1472,1538,1766,1961,2167,2318,2530,2737,3004,3271,3442,3616,3873,4128,4576,5021,5666,6308,7535,8759,842,890,1012,1107,1214,1299,1413,1526,1690,1854,1962,2071,2260,2448,2761,3073,3504,3935,4766,5596,311,357,415,483,551,591,663,735,810,885,936,987,1025,1062,1145,1228,1365,1502,1803,2103,145,176,205,225,241,262,274,285,302,319,326,334,346,358,381,403,441,478,539,599,0,94,105,117,125,126,132,137,146,155,158,162,166,170,181,191,212,232,278,324
53.0,WA,Washington,7535591.0,970358.0,5124948.0,295631.0,687325.0,1108,1209,1312,1403,1580,1764,1877,1986,2086,2182,2312,2446,2674,2898,3217,3532,3920,4305,4643,4976,783,848,908,940,1072,1192,1265,1338,1410,1481,1579,1678,1847,2016,2252,2488,2775,3061,3296,3530,35,40,45,48,52,58,63,67,69,71,73,75,83,90,101,111,124,136,147,157,123,146,165,198,210,248,266,284,299,313,330,347,370,392,420,448,478,508,551,594,105,106,112,121,129,137,144,150,155,159,164,170,184,197,225,253,287,320,349,377
54.0,WV,West Virginia,1805832.0,30201.0,1662293.0,63429.0,15014.0,57,49,81,85,91,102,137,172,225,290,331,374,399,423,598,772,970,1166,1662,2158,57,49,81,85,91,102,137,172,225,277,317,358,382,405,575,745,937,1128,1611,2094,0,0,0,0,0,0,0,0,0,13,14,16,17,18,23,27,33,38,51,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.0,WI,Wisconsin,5813568.0,403955.0,4712894.0,370909.0,173071.0,718,822,886,945,1060,1157,1251,1343,1499,1650,2083,2519,3350,4179,4652,5122,5888,6649,6951,7249,451,520,558,603,682,760,830,900,1031,1161,1550,1940,2672,3404,3800,4195,4877,5558,5810,6062,164,179,192,196,209,214,222,229,237,244,256,268,291,314,342,369,401,432,455,477,69,83,93,100,115,122,132,142,152,161,174,188,224,260,283,306,335,363,375,386,17,22,23,23,28,30,32,33,38,42,48,54,63,71,85,99,106,113,119,124
56.0,WY,Wyoming,577737.0,58227.0,484253.0,6598.0,5762.0,0,19,20,23,26,30,35,38,41,44,70,98,185,270,357,440,527,609,672,732,0,9,9,11,12,15,18,20,23,26,50,75,147,218,289,359,429,499,553,606,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,0,1,2,2,2,2,2,2,2,2,3,5,11,16,24,31,40,48,53,58,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,5,5,6,6
